G o. </w>	Va </w> ! </w>
Don't </w> lie. </w>	Ne </w> mens </w> pas. </w>
Don't </w> run. </w>	Ne </w> courez </w> pas. </w>
Don't </w> run. </w>	Ne </w> cours </w> pas. </w>
Excuse </w> me. </w>	Excuse -moi. </w>
Excuse </w> me. </w>	Excusez-moi . </w>
F ant as tic ! </w>	F ant as tique </w> ! </w>
Feel </w> this. </w>	Sens </w> ça </w> ! </w>
Feel </w> this. </w>	Sentez </w> ça </w> ! </w>
Feel </w> this. </w>	Touche </w> ça </w> ! </w>
Feel </w> this. </w>	Tou chez </w> ça </w> ! </w>
Follow </w> me. </w>	Suis -moi. </w>
Follow </w> us. </w>	Suis -nous </w> ! </w>
Follow </w> us. </w>	Suivez -nous </w> ! </w>
Forget </w> it! </w>	Oublie </w> ! </w>
Forget </w> it! </w>	Oublie -le </w> ! </w>
Forget </w> it! </w>	Oubliez </w> ! </w>
Forget </w> it! </w>	Oubliez -le </w> ! </w>
Forget </w> it. </w>	Laisse </w> tomber. </w>
Forget </w> it. </w>	Oubli e. </w>
Forget </w> it. </w>	Oublie -le </w> ! </w>
Get </w> a </w> job. </w>	Trouve </w> un </w> emploi </w> ! </w>
Get </w> a </w> job. </w>	Trouve </w> un </w> boulot </w> ! </w>
Get </w> a </w> job. </w>	Trouvez </w> un </w> emploi </w> ! </w>
Get </w> a </w> job. </w>	Trouvez </w> un </w> boulot </w> ! </w>
Get </w> ready. </w>	Prépare -toi. </w>
Get </w> ready. </w>	Préparez-vous . </w>
Go </w> get </w> it. </w>	Va </w> le </w> chercher </w> ! </w>
Go </w> get </w> it. </w>	Allez </w> le </w> chercher </w> ! </w>
Go </w> inside. </w>	Entrez </w> ! </w>
Go </w> to </w> bed. </w>	Va </w> au </w> lit </w> ! </w>
Go </w> to </w> bed. </w>	Allez </w> au </w> lit </w> ! </w>
Good </w> luck. </w>	Bonne </w> chance </w> ! </w>
Good </w> luck. </w>	Bonne </w> chance. </w>
Grab </w> that. </w>	Attrape </w> ça </w> ! </w>
Grab </w> that. </w>	Attrapez </w> ça </w> ! </w>
Grab </w> that. </w>	Saisis -toi </w> de </w> ça </w> ! </w>
Grab </w> that. </w>	Sais issez-vous </w> de </w> ça </w> ! </w>
Grab </w> this. </w>	Attrape </w> ça </w> ! </w>
Grab </w> this. </w>	Attrapez </w> ça </w> ! </w>
Hand s </w> off. </w>	Pas </w> touche </w> ! </w>
He </w> is </w> ill. </w>	Il </w> est </w> malade. </w>
He </w> is </w> old. </w>	Il </w> est </w> vieux. </w>
He's </w> a </w> DJ. </w>	Il </w> est </w> DJ. </w>
He's </w> good. </w>	Il </w> est </w> bon. </w>
He's </w> lazy. </w>	Il </w> est </w> paresseux. </w>
He's </w> rich. </w>	Il </w> est </w> riche. </w>
Here </w> I </w> am. </w>	Me </w> voici. </w>
Here's </w> $ 5. </w>	Voilà </w> cinq </w> dollars. </w>
Hold </w> fire. </w>	Hal te </w> au </w> feu </w> ! </w>
Hold </w> fire. </w>	Cessez </w> le </w> feu </w> ! </w>
Hold </w> this. </w>	Tiens </w> ça </w> ! </w>
Hold </w> this. </w>	Tenez </w> ça </w> ! </w>
Hold </w> this. </w>	Tenez </w> ceci </w> ! </w>
Hold </w> this. </w>	Tiens </w> ceci </w> ! </w>
How </w> awful ! </w>	C'est </w> affreux </w> ! </w>
How </w> weird ! </w>	Comme </w> c'est </w> bizarre </w> ! </w>
How's </w> Tom? </w>	Comment </w> Tom </w> va-t-il </w> ? </w>
How's </w> Tom? </w>	Comment </w> va </w> Tom </w> ? </w>
I </w> am </w> busy. </w>	Je </w> suis </w> occupé. </w>
I </w> am </w> calm. </w>	Je </w> suis </w> calme. </w>
I </w> am </w> cold. </w>	J'ai </w> froid. </w>
I </w> am </w> fine. </w>	Je </w> vais </w> bien. </w>
I </w> am </w> good. </w>	Je </w> suis </w> bon. </w>
I </w> am </w> here. </w>	Je </w> suis </w> ici. </w>
I </w> am </w> lazy. </w>	Je </w> suis </w> paresseux. </w>
I </w> am </w> lazy. </w>	Je </w> suis </w> fainéant. </w>
I </w> am </w> lazy. </w>	Je </w> suis </w> paresseuse. </w>
I </w> am </w> lazy. </w>	Je </w> suis </w> fainéante. </w>
I </w> am </w> okay. </w>	Je </w> vais </w> bien. </w>
I </w> am </w> sick. </w>	Je </w> suis </w> malade. </w>
I </w> am </w> sure. </w>	Je </w> suis </w> sûr. </w>
I </w> am </w> sure. </w>	Je </w> suis </w> certain. </w>
I </w> am </w> weak. </w>	Je </w> suis </w> faible. </w>
I </w> beg </w> you. </w>	Je </w> vous </w> en </w> prie. </w>
I </w> beg </w> you. </w>	Je </w> vous </w> en </w> con jure. </w>
I </w> beg </w> you. </w>	Je </w> vous </w> en </w> supplie. </w>
I </w> beg </w> you. </w>	Je </w> te </w> prie. </w>
I </w> can </w> run. </w>	Je </w> sais </w> courir. </w>
I </w> can </w> ski. </w>	Je </w> sais </w> skier. </w>
I </w> cr ing ed. </w>	J'eus </w> un </w> mouvement </w> de </w> recul . </w>
I </w> cr ing ed. </w>	J'ai </w> eu </w> un </w> mouvement </w> de </w> recul . </w>
I </w> cr ing ed. </w>	Je </w> suis </w> rentré </w> en </w> moi-même. </w>
I </w> give </w> up. </w>	J' abandon ne. </w>
I </w> got </w> hot. </w>	Je </w> me </w> suis </w> mis </w> à </w> avoir </w> chaud. </w>
I </w> got </w> hot. </w>	Je </w> me </w> suis </w> mise </w> à </w> avoir </w> chaud. </w>
I </w> had </w> fun. </w>	Je </w> me </w> suis </w> amusé. </w>
I </w> had </w> fun. </w>	Je </w> me </w> suis </w> amusée. </w>
I </w> had </w> fun. </w>	Je </w> me </w> suis </w> mar ré. </w>
I </w> had </w> fun. </w>	Je </w> me </w> suis </w> mar rée. </w>
I </w> hate </w> it. </w>	Je </w> déteste </w> ça. </w>
I </w> have </w> it. </w>	Je </w> l'ai . </w>
I </w> hit </w> Tom. </w>	J'ai </w> frappé </w> Tom. </w>
I </w> hope </w> so. </w>	J'espère </w> bien. </w>
I </w> knew </w> it. </w>	Je </w> le </w> savais. </w>
I </w> like </w> it. </w>	J'aime </w> ça. </w>
I </w> lost </w> it. </w>	Je </w> l’ai </w> perdu. </w>
I </w> love </w> it! </w>	J'adore </w> ça </w> ! </w>
I </w> love </w> it. </w>	J'adore </w> ça </w> ! </w>
I </w> mean </w> it! </w>	Je </w> suis </w> sérieux </w> ! </w>
I </w> mean </w> it. </w>	Je </w> suis </w> sérieux. </w>
I </w> must </w> go. </w>	Je </w> dois </w> y </w> aller. </w>
I </w> must </w> go. </w>	Il </w> faut </w> que </w> j'y </w> aille. </w>
I </w> must </w> go. </w>	Il </w> me </w> faut </w> y </w> aller. </w>
I </w> must </w> go. </w>	Il </w> me </w> faut </w> partir. </w>
I </w> must </w> go. </w>	Il </w> me </w> faut </w> m'en </w> aller. </w>
I </w> must </w> go. </w>	Je </w> dois </w> partir. </w>
I </w> must </w> go. </w>	Je </w> dois </w> m'en </w> aller. </w>
I </w> must </w> go. </w>	Il </w> faut </w> que </w> je </w> m'en </w> aille. </w>
I </w> need </w> it. </w>	J'en </w> ai </w> besoin. </w>
I </w> need </w> it. </w>	Il </w> me </w> le </w> faut. </w>
I </w> noticed. </w>	J'ai </w> remarqué. </w>
I </w> promise. </w>	Je </w> le </w> promets. </w>
I </w> relaxed. </w>	Je </w> me </w> suis </w> détendu. </w>
I </w> relaxed. </w>	Je </w> me </w> suis </w> détendue. </w>
I </w> said </w> no. </w>	J'ai </w> dit </w> non. </w>
I </w> said </w> so. </w>	Je </w> l'ai </w> dit. </w>
I </w> saw </w> him. </w>	Je </w> l'ai </w> vu. </w>
I </w> saw </w> him. </w>	Je </w> l’ai </w> vu. </w>
I </w> saw </w> him. </w>	Je </w> le </w> vis. </w>
I </w> saw </w> one. </w>	J'en </w> ai </w> vu </w> une. </w>
I </w> saw </w> one. </w>	J'en </w> ai </w> vu </w> un. </w>
I </w> saw </w> you. </w>	Je </w> vous </w> vis. </w>
I </w> saw </w> you. </w>	Je </w> te </w> vis. </w>
I </w> saw </w> you. </w>	Je </w> t'ai </w> vue. </w>
I </w> saw </w> you. </w>	Je </w> t'ai </w> vu. </w>
I </w> saw </w> you. </w>	Je </w> vous </w> ai </w> vues. </w>
I </w> saw </w> you. </w>	Je </w> vous </w> ai </w> vus. </w>
I </w> saw </w> you. </w>	Je </w> vous </w> ai </w> vue. </w>
I </w> saw </w> you. </w>	Je </w> vous </w> ai </w> vu. </w>
I </w> see </w> Tom. </w>	Je </w> vois </w> Tom. </w>
I </w> shou ted. </w>	J'ai </w> crié. </w>
I </w> trip ped. </w>	J'ai </w> trébu ché. </w>
I </w> trip ped. </w>	J'ai </w> plan é. </w>
I </w> want </w> it. </w>	Je </w> le </w> veux. </w>
I </w> was </w> new. </w>	J'étais </w> nouveau. </w>
I </w> was </w> new. </w>	J'étais </w> nouvelle. </w>
I </w> will </w> go. </w>	J' irai. </w>
I </w> woke </w> up. </w>	Je </w> me </w> suis </w> réveillé. </w>
I </w> woke </w> up. </w>	Je </w> me </w> suis </w> éveillé. </w>
I'd </w> agree. </w>	Je </w> serais </w> d'accord. </w>
I'd </w> leave. </w>	Je </w> parti rais. </w>
I'll </w> call. </w>	J' appellerai. </w>
I'll </w> cook. </w>	Je </w> cuisin erai. </w>
I'll </w> help. </w>	J'ai derai. </w>
I'll </w> live. </w>	Je </w> vivrai. </w>
I'll </w> obey. </w>	J' obéir ai. </w>
I'll </w> pack. </w>	Je </w> ferai </w> mon </w> sac. </w>
I'll </w> pack. </w>	Je </w> ferai </w> ma </w> valise. </w>
I'll </w> pack. </w>	Je </w> pli erai </w> mes </w> gau les. </w>
I'll </w> pass. </w>	Je </w> passerai . </w>
I'll </w> quit. </w>	J' abandonner ai. </w>
I'll </w> sing. </w>	Je </w> chant erai. </w>
I'll </w> stop. </w>	J' arrêter ai. </w>
I'll </w> swim. </w>	Je </w> nag erai. </w>
I'll </w> talk. </w>	Je </w> parler ai. </w>
I'll </w> talk. </w>	Je </w> vais </w> parler. </w>
I'll </w> wait. </w>	J' attendr ai. </w>
I'll </w> walk. </w>	Je </w> marcher ai. </w>
I'll </w> work. </w>	Je </w> vais </w> travailler. </w>
I'll </w> work. </w>	Je </w> travaill erai. </w>
I'm </w> a </w> cop. </w>	Je </w> suis </w> flic. </w>
I'm </w> a </w> man. </w>	Je </w> suis </w> un </w> homme. </w>
I'm </w> alive. </w>	Je </w> suis </w> en </w> vie. </w>
I'm </w> alive. </w>	Je </w> suis </w> vivant. </w>
I'm </w> alive. </w>	Je </w> suis </w> vivante. </w>
I'm </w> alone. </w>	Je </w> suis </w> seule. </w>
I'm </w> alone. </w>	Je </w> suis </w> seul. </w>
I'm </w> angry. </w>	Je </w> suis </w> énervé. </w>
I'm </w> angry. </w>	Je </w> suis </w> en </w> colère. </w>
I'm </w> armed. </w>	Je </w> suis </w> armé. </w>
I'm </w> armed. </w>	Je </w> suis </w> armée. </w>
I'm </w> awake. </w>	Je </w> suis </w> réveillé. </w>
I'm </w> blind. </w>	Je </w> suis </w> aveugle. </w>
I'm </w> broke. </w>	Je </w> suis </w> fauché. </w>
I'm </w> clean. </w>	J'ai </w> décro ché. </w>
I'm </w> clean. </w>	Je </w> suis </w> propre. </w>
I'm </w> crazy. </w>	Je </w> suis </w> fou. </w>
I'm </w> crazy. </w>	Je </w> suis </w> folle. </w>
I'm </w> cured. </w>	Je </w> suis </w> guéri . </w>
I'm </w> cured. </w>	Je </w> suis </w> guérie. </w>
I'm </w> drunk. </w>	Je </w> suis </w> saoul. </w>
I'm </w> drunk. </w>	Je </w> suis </w> soûl. </w>
I'm </w> drunk. </w>	Je </w> suis </w> ivre. </w>
I'm </w> dying. </w>	Je </w> me </w> meurs. </w>
I'm </w> early. </w>	Je </w> suis </w> en </w> avance. </w>
I'm </w> first. </w>	Je </w> suis </w> en </w> premier. </w>
I'm </w> fussy. </w>	Je </w> suis </w> difficile. </w>
I'm </w> fussy. </w>	Je </w> suis </w> tatillon. </w>
I'm </w> fussy. </w>	Je </w> suis </w> tatillon ne. </w>
I'm </w> going. </w>	Je </w> pars </w> maintenant. </w>
I'm </w> going. </w>	Je </w> me </w> tire. </w>
I'm </w> going. </w>	J’ y </w> vais. </w>
I'm </w> going. </w>	Je </w> pars. </w>
I'm </w> loyal. </w>	Je </w> suis </w> loyal. </w>
I'm </w> loyal. </w>	Je </w> suis </w> loy ale. </w>
I'm </w> lucky. </w>	Je </w> suis </w> veinard. </w>
I'm </w> lucky. </w>	Je </w> suis </w> veinarde. </w>
I'm </w> lucky. </w>	J'ai </w> du </w> pot. </w>
I'm </w> lucky. </w>	Je </w> suis </w> chanceux. </w>
I'm </w> lucky. </w>	Je </w> suis </w> chanceuse. </w>
I'm </w> lying. </w>	Je </w> suis </w> en </w> train </w> de </w> mentir. </w>
I'm </w> quiet. </w>	Je </w> suis </w> tranquille. </w>
I'm </w> ready ! </w>	Je </w> suis </w> prête </w> ! </w>
I'm </w> ready ! </w>	Je </w> suis </w> prêt </w> ! </w>
I'm </w> ready. </w>	Je </w> suis </w> prêt. </w>
I'm </w> right. </w>	J'ai </w> raison. </w>
I'm </w> so ber. </w>	Je </w> suis </w> so bre. </w>
I'm </w> sorry. </w>	Excuse -moi. </w>
I'm </w> sorry. </w>	Dé solé. </w>
I'm </w> sorry. </w>	Excusez-moi . </w>
I'm </w> sorry. </w>	Désolé </w> ! </w>
I'm </w> sorry. </w>	Je </w> suis </w> désolé. </w>
I'm </w> sorry. </w>	Je </w> suis </w> désolée. </w>
I'm </w> stuck. </w>	Je </w> suis </w> coin cée. </w>
I'm </w> timid. </w>	Je </w> suis </w> timide. </w>
I'm </w> tired. </w>	Je </w> suis </w> fatigué </w> ! </w>
I'm </w> tough. </w>	Je </w> suis </w> dur. </w>
I'm </w> tough. </w>	Je </w> suis </w> dure. </w>
I'm </w> tough. </w>	Je </w> suis </w> dur </w> à </w> cuire. </w>
I'm </w> tough. </w>	Je </w> suis </w> dure </w> à </w> cuire. </w>
I'm </w> yours. </w>	Je </w> suis </w> à </w> toi. </w>
I'm </w> yours. </w>	Je </w> suis </w> à </w> vous. </w>
I've </w> lost. </w>	J'ai </w> perdu. </w>
Is </w> Tom </w> OK? </w>	Est-ce </w> que </w> Tom </w> va </w> bien </w> ? </w>
Is </w> Tom </w> OK? </w>	Tom </w> va-t-il </w> bien </w> ? </w>
Is </w> it </w> bad? </w>	C'est </w> grave </w> ? </w>
Is </w> it </w> far? </w>	Est-ce </w> éloigné </w> ? </w>
Is </w> it </w> far? </w>	Est-ce </w> loin </w> ? </w>
Is </w> it </w> hot? </w>	Est-ce </w> chaud </w> ? </w>
Is </w> it </w> you? </w>	Est-ce </w> toi </w> ? </w>
Is </w> it </w> you? </w>	Est-ce </w> vous </w> ? </w>
Is </w> it </w> you? </w>	Est-ce </w> que </w> c'est </w> vous </w> ? </w>
It </w> failed. </w>	Ça </w> a </w> échoué. </w>
It </w> is </w> new. </w>	C'est </w> nouveau. </w>
It </w> is </w> new. </w>	C'est </w> neuf. </w>
It </w> sno wed. </w>	Il </w> a </w> neig é. </w>
It </w> stinks. </w>	Ça </w> sent </w> mauvais. </w>
It </w> stinks. </w>	Ça </w> pue. </w>
It </w> was </w> OK. </w>	C'était </w> bon. </w>
It </w> was </w> OK. </w>	C'était </w> correct. </w>
It </w> was </w> OK. </w>	C'était </w> OK. </w>
It </w> worked. </w>	Ça </w> a </w> fonctionné. </w>
It </w> worked. </w>	Ça </w> a </w> marché. </w>
It's </w> 3 :30. </w>	Il </w> est </w> trois </w> heures </w> et </w> demie. </w>
It's </w> 8 :30. </w>	Il </w> est </w> huit </w> heures </w> trente. </w>
It's </w> 8 :30. </w>	Il </w> est </w> 8 </w> h </w> 30. </w>
It's </w> a </w> TV. </w>	C'est </w> une </w> télé. </w>
It's </w> cold. </w>	Il </w> fait </w> froid. </w>
It's </w> cold. </w>	C'est </w> froid. </w>
It's </w> dark. </w>	C'est </w> sombre. </w>
It's </w> dead. </w>	Elle </w> est </w> morte. </w>
It's </w> dead. </w>	C'est </w> mort. </w>
It's </w> dead. </w>	Il </w> est </w> mort. </w>
It's </w> done. </w>	C'est </w> fait. </w>
It's </w> easy. </w>	C'est </w> simple. </w>
It's </w> food. </w>	C'est </w> de </w> la </w> nourriture. </w>
It's </w> free. </w>	C'est </w> gratuit. </w>
It's </w> here. </w>	Elle </w> est </w> ici. </w>
It's </w> here. </w>	C'est </w> ici. </w>
It's </w> hers. </w>	C'est </w> le </w> sien. </w>
It's </w> hers. </w>	C'est </w> la </w> sienne. </w>
It's </w> late. </w>	Il </w> est </w> tard. </w>
It's </w> lost. </w>	C'est </w> perdu. </w>
It's </w> mine. </w>	C'est </w> le </w> mien. </w>
It's </w> mine. </w>	C'est </w> la </w> mienne. </w>
It's </w> mine. </w>	C'est </w> à </w> moi. </w>
It's </w> mine. </w>	Il </w> s'agit </w> du </w> mien. </w>
It's </w> open. </w>	C'est </w> ouvert. </w>
It's </w> ours. </w>	C'est </w> le </w> nôtre. </w>
It's </w> ours. </w>	C'est </w> la </w> nôtre. </w>
It's </w> ours. </w>	C'est </w> à </w> nous. </w>
It's </w> sand. </w>	C'est </w> du </w> sable. </w>
It's </w> time. </w>	Il </w> est </w> temps </w> ! </w>
It's </w> time. </w>	C'est </w> l'heure. </w>
It's </w> true ! </w>	C'est </w> vrai </w> ! </w>
It's </w> work. </w>	C'est </w> du </w> boulot. </w>
Keep </w> that. </w>	Garde </w> ça. </w>
Keep </w> that. </w>	Gardez </w> cela. </w>
Keep </w> this. </w>	Garde </w> ça. </w>
Keep </w> this. </w>	Gardez </w> ceci. </w>
Let </w> it </w> be. </w>	Ain si </w> soit -il . </w>
Let </w> it </w> be. </w>	Laisse </w> faire. </w>
Let </w> me </w> go! </w>	Laisse-moi </w> partir </w> ! </w>
Let </w> me </w> go! </w>	Laissez-moi </w> partir </w> ! </w>
Let </w> me </w> go! </w>	Lâche-moi </w> ! </w>
Let </w> me </w> go! </w>	Lâchez-moi </w> ! </w>
Let </w> me </w> go! </w>	Laisse-moi </w> m'en </w> aller </w> ! </w>
Let </w> me </w> go! </w>	Laissez-moi </w> m'en </w> aller </w> ! </w>
Let </w> me </w> go! </w>	Laissez-moi </w> y </w> aller </w> ! </w>
Let </w> me </w> go! </w>	Laisse-moi </w> y </w> aller </w> ! </w>
Let </w> me </w> go. </w>	Laisse-moi </w> partir </w> ! </w>
Let </w> me </w> go. </w>	Laissez-moi </w> partir </w> ! </w>
Let </w> me </w> go. </w>	Laisse-moi </w> m'en </w> aller </w> ! </w>
Let </w> me </w> go. </w>	Laissez-moi </w> m'en </w> aller </w> ! </w>
Let </w> me </w> in. </w>	Laissez-moi </w> rentrer. </w>
Let </w> me </w> in. </w>	Laissez-moi </w> entrer. </w>
Let's </w> ask. </w>	Demand ons. </w>
Let's </w> eat. </w>	Mange ons. </w>
Let's </w> see. </w>	Voyons </w> voir </w> ! </w>
Lie </w> still. </w>	Reste </w> allong é, </w> immobile </w> ! </w>
Lie </w> still. </w>	Reste </w> allongée, </w> immobile </w> ! </w>
Lie </w> still. </w>	Restez </w> allong é, </w> immobile </w> ! </w>
Lie </w> still. </w>	Restez </w> allongée, </w> immobile </w> ! </w>
Lie </w> still. </w>	Restez </w> allong és, </w> immobil es </w> ! </w>
Lie </w> still. </w>	Restez </w> allong ées, </w> immobil es </w> ! </w>
Look </w> back! </w>	Regarde </w> derrière </w> toi </w> ! </w>
Look </w> back! </w>	Regarde </w> derrière </w> ! </w>
Look </w> here. </w>	Regarde </w> ici. </w>
Look </w> here. </w>	Regardez </w> ici. </w>
Loosen </w> up. </w>	É chauffe -toi </w> ! </w>
Loosen </w> up. </w>	É chauffe z-vous </w> ! </w>
Loosen </w> up. </w>	Détends-toi </w> ! </w>
Loosen </w> up. </w>	Laisse -toi </w> aller </w> ! </w>
Loosen </w> up. </w>	Laisse z-vous </w> aller </w> ! </w>
Move </w> over. </w>	Bouge </w> de </w> là. </w>
Move </w> over. </w>	P ous sez-vous . </w>
Move </w> over. </w>	P ousse -toi. </w>
Nice </w> shot ! </w>	J oli </w> coup </w> ! </w>
Of </w> course! </w>	Pour </w> sûr. </w>
Of </w> course! </w>	Mais </w> ou ais </w> ! </w>
Of </w> course! </w>	Par di </w> ! </w>
Of </w> course. </w>	Bien </w> sûr. </w>
Of </w> course. </w>	Pour </w> sûr. </w>
Oh </w> please! </w>	Je </w> vous </w> en </w> prie </w> ! </w>
Oh </w> please! </w>	Je </w> t'en </w> prie </w> ! </w>
Pardon </w> me? </w>	Pardon </w> ? </w>
Pardon </w> me? </w>	Je </w> vous </w> demande </w> pardon </w> ? </w>
Pardon </w> me? </w>	P la ît -il </w> ? </w>
Read </w> this. </w>	Lis </w> ceci. </w>
Say </w> hello. </w>	Dis </w> bonjour. </w>
See </w> abo ve. </w>	Voyez </w> ci- dessus. </w>
See </w> below. </w>	Voyez </w> ci- dessous. </w>
See </w> below. </w>	V oir </w> ci- dessous. </w>
Seize </w> him! </w>	C ap tu rez-le </w> ! </w>
Seize </w> him! </w>	Attrapez -le </w> ! </w>
Ser ious ly? </w>	Vraiment </w> ? </w>
Ser ious ly? </w>	Est-ce </w> sérieux </w> ? </w>
Ser ious ly? </w>	S érie usement </w> ? </w>
She </w> cried. </w>	Elle </w> pleurait. </w>
She </w> cried. </w>	Elle </w> pleura. </w>
She </w> tried. </w>	Elle </w> a </w> essayé. </w>
She </w> walks. </w>	Elle </w> marche. </w>
She's </w> hot. </w>	Elle </w> est </w> chaude. </w>
She's </w> hot. </w>	Elle </w> est </w> très </w> attirante. </w>
Sign </w> here. </w>	Signe </w> ici. </w>
Sign </w> here. </w>	Signez </w> ici. </w>
Sign </w> this. </w>	Signe </w> ça. </w>
Sign </w> this. </w>	Signez </w> ceci. </w>
S low </w> down. </w>	R alent is </w> ! </w>
S low </w> down. </w>	R alent issez </w> ! </w>
Stay </w> back. </w>	Reste </w> en </w> arrière </w> ! </w>
Stay </w> back. </w>	Restez </w> en </w> arrière </w> ! </w>
Stay </w> calm. </w>	Restez </w> calme. </w>
Stay </w> calm. </w>	Reste </w> calme. </w>
Stay </w> calm. </w>	Garde </w> ton </w> calme. </w>
Stay </w> calm. </w>	Garde </w> ton </w> sang-froid. </w>
Stay </w> calm. </w>	Reste </w> tranquille. </w>
Stay </w> down! </w>	Reste </w> baissé. </w>
Stay </w> down! </w>	Restez </w> baissé. </w>
Stay </w> down. </w>	Reste </w> baissé. </w>
Stay </w> down. </w>	Restez </w> baissé. </w>
Stay </w> here. </w>	Restez </w> là </w> ! </w>
Stay </w> here. </w>	Reste </w> ici </w> ! </w>
Stay </w> here. </w>	Restez </w> ici. </w>
Stay </w> thin. </w>	Reste </w> mince </w> ! </w>
Step </w> back. </w>	Recule </w> ! </w>
Step </w> back. </w>	Reculez </w> ! </w>
Stop </w> that! </w>	Arrêtez </w> ! </w>
Stop </w> that. </w>	Arrêtez </w> ça </w> ! </w>
Stop </w> that. </w>	Arrête </w> ça </w> ! </w>
Stop </w> them. </w>	Arrêtez - les. </w>
Take </w> care ! </w>	Prends </w> soin </w> de </w> toi </w> ! </w>
Take </w> care ! </w>	Soyez </w> prudente </w> ! </w>
Take </w> care. </w>	Prends </w> soin </w> de </w> toi. </w>
Take </w> care. </w>	Prenez </w> soin </w> de </w> vous. </w>
Take </w> mine. </w>	Prends </w> le </w> mien. </w>
Take </w> mine. </w>	Prends </w> la </w> mienne. </w>
Take </w> mine. </w>	Prenez </w> le </w> mien. </w>
Take </w> mine. </w>	Prenez </w> la </w> mienne. </w>
Take </w> mine. </w>	Prends </w> les </w> miens. </w>
Take </w> mine. </w>	Prends </w> les </w> miennes. </w>
Take </w> mine. </w>	Prenez </w> les </w> miens. </w>
Take </w> mine. </w>	Prenez </w> les </w> miennes. </w>
Take </w> this. </w>	Prends </w> ça. </w>
Take </w> this. </w>	Prenez </w> ça. </w>
Thank </w> you. </w>	Merci </w> ! </w>
That's </w> OK. </w>	Il </w> n'y </w> a </w> pas </w> de </w> problème. </w>
That's </w> OK. </w>	Pas </w> de </w> problème. </w>
That's </w> OK. </w>	Ce </w> n'est </w> pas </w> grave. </w>
That's </w> OK. </w>	Ça </w> va. </w>
That's </w> it. </w>	C'est </w> ça. </w>
They </w> fell. </w>	Ils </w> sont </w> tombé s. </w>
They </w> fell. </w>	Elles </w> sont </w> tombées. </w>
They </w> left. </w>	Ils </w> sont </w> partis. </w>
They </w> left. </w>	Elles </w> sont </w> parties. </w>
They </w> lied. </w>	Ils </w> ont </w> menti. </w>
They </w> lied. </w>	Elles </w> ont </w> menti. </w>
They </w> lost. </w>	Ils </w> ont </w> perdu. </w>
They </w> lost. </w>	Elles </w> ont </w> perdu. </w>
They </w> swam. </w>	Ils </w> nageaient. </w>
They </w> swam. </w>	Elles </w> nageaient. </w>
They </w> swam. </w>	Ils </w> nag èrent. </w>
They </w> swam. </w>	Elles </w> nag èrent. </w>
Time 's </w> up. </w>	Le </w> temps </w> est </w> écoulé. </w>
Tom </w> cried. </w>	Tom </w> pleura. </w>
Tom </w> is </w> OK. </w>	Tom </w> va </w> bien. </w>
Tom </w> knit s. </w>	Tom </w> trico te. </w>
Tom </w> knows. </w>	Tom </w> sait. </w>
Tom </w> rocks. </w>	Tom </w> as sure. </w>
